CSV,FirstReaderScore,
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Negative,Negative,1
Negative,Negative,1
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Negative,Neutral,0
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Discard,0
Positive,Discard,0
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Negative,0
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,"Needs review. Are these wipes? If so, Positive. Else, discard.",0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Positive,positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Positive,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Positive,0
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Negative,Negative,1
Positive,Neutral,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Discard,0
Positive,Positive,1
Negative,Negative,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Negative,Neutral,0
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Negative,Negative,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Positive,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Neutral,0
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Negative,Negative,1
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,positive,1
Positive,Positive,1
Positive,positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Positive/Neutral,0
Positive,Negative,0
Positive,Negative,0
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Negative,discard,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Discard,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Discard,0
Positive,Neutral,0
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Negative,0
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Negative,Negative,1
Positive,Positive,1
Positive,Positive,1
Positive,Discard,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Negative,Positive,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Positive,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Negative,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Discard,0
Positive,Positive,1
Positive,positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Positive,0
Positive,Neutral,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Negative,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Positive,positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Positive,positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Discard,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Positive,0
Positive,Positive,1
Negative,Positive,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Positive,0
Negative,Positive,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Neutral,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Positive,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Negative,Neutral,0
Positive,Positive,1
Negative,Negative,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Positive,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Positive,0
Positive,Negative,0
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Positive,neutral,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Negative,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Negative,Negative,1
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Positive,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Positive,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,positive,1
Positive,Positive,1
Positive,Positive,1
Positive,positive,1
Positive,Positive,1
Positive,Discard,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Positive,1
Negative,Negative,1
Positive,Positive,1
Positive,Positive,1
Negative,Positive,0
Positive,Positive,1
Positive,Discard,0
Positive,Negative,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Positive,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Negative,0
Positive,Neutral,0
Negative,Positive,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Discard,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Positive,Negative,0
Positive,positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Discard,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Neutral,0
Negative,Positive,0
Positive,Positive,1
Positive,Positive,1
Positive,positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Positive,0
Positive,Positive,1
Positive,Positive,1
Positive,Discard,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Positive,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Negative,Positive,0
Positive,Positive,1
Positive,Positive,1
Positive,Discard,0
Positive,Discard,0
Positive,Positive,1
Positive,Positive,1
Positive,positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Discard,0
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
Positive,Positive,1
